City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,nuuk,64.1835,-51.7216,-3.66,86,100,6.17,GL,1699922977
135,kodiak,57.79,-152.4072,6.73,49,40,7.2,US,1699922899
136,vorgashor,67.5833,63.95,-14.16,90,100,3.41,RU,1699922977
137,natal,-5.795,-35.2094,27.12,78,20,4.12,BR,1699922942
138,nanga eboko,4.6833,12.3667,20.71,98,100,0.76,CM,1699922978
139,maumere,-8.6199,122.2111,30.14,64,6,1.01,ID,1699922829
140,cadale,2.7603,46.3222,27.63,75,100,1.75,SO,1699922978
141,st. john's,47.5649,-52.7093,0.54,82,75,3.6,CA,1699922977
142,margate,51.3813,1.3862,13.28,78,100,5.36,GB,1699922978
143,vadso,70.0744,29.7487,-7.91,86,88,6.17,NO,1699922978
144,inari,68.906,27.0288,-15.89,98,40,1.25,FI,1699922978
145,morehead city,34.7229,-76.726,12.77,81,0,0.0,US,1699922979
146,langxiang,46.95,128.8833,-5.35,77,25,1.33,CN,1699922979
147,hammerfest,70.6634,23.6821,-0.75,86,100,1.54,NO,1699922979
148,aripuana,-9.1667,-60.6333,22.72,92,71,1.44,BR,1699922979
149,jamestown,42.097,-79.2353,8.77,75,0,4.12,US,1699922979
150,malango,-2.9627,119.9001,27.04,53,26,0.99,ID,1699922980
151,vernon,50.2581,-119.2691,9.2,49,4,1.54,CA,1699922980
152,ain taya,36.7933,3.2869,11.91,76,20,0.51,DZ,1699922980
153,laoag,18.1989,120.5936,28.95,70,75,5.14,PH,1699922980
154,bereznik,62.8551,42.7072,0.32,98,100,1.53,RU,1699922981
155,fale old settlement,-9.3852,-171.2468,26.49,89,100,6.38,TK,1699922981
156,saipan,15.1355,145.701,31.39,70,20,7.72,MP,1699922981
157,araci,-11.3333,-38.9667,22.38,75,11,4.17,BR,1699922981
158,arraial do cabo,-22.9661,-42.0278,24.98,88,0,2.57,BR,1699922981
159,presidente medici,-11.1753,-61.9014,25.66,76,12,2.04,BR,1699922982
160,andergrove,-21.0833,149.1833,29.8,56,0,4.08,AU,1699922982
161,hithadhoo,-0.6,73.0833,27.05,81,70,3.87,MV,1699922982
162,bathsheba,13.2167,-59.5167,28.34,74,20,9.26,BB,1699922982
163,makinsk,52.6292,70.4169,1.47,89,100,5.12,KZ,1699922984
164,ames,42.0347,-93.6199,12.18,46,0,3.09,US,1699922910
165,budaun,28.05,79.1167,19.08,44,100,1.57,IN,1699922984
166,juneau,58.3019,-134.4197,3.0,90,100,5.14,US,1699922787
167,minas de marcona,-15.2119,-75.1103,14.48,87,67,5.82,PE,1699922984
168,kokopo,-4.352,152.2633,29.25,62,75,2.36,PG,1699922985
169,lokomotivnyy,53.0118,60.5684,4.11,82,100,8.05,RU,1699922985
170,udachny,66.4167,112.4,-5.86,85,100,3.85,RU,1699922985
171,doka,13.5167,35.7667,26.11,43,5,4.19,SD,1699922985
